feature,pearson,spearman
feature_hft_microprice,0.003654995579883424,0.0033368055925160033
feature_hft_ofi_rolling_50,0.0024469918738722267,0.001017094895606066
feature_hft_ask_slope,-0.002202812917691412,-0.0004917476471717256
feature_hft_microprice_divergence,-0.0018403594565974612,-0.00011504247833162277
feature_hft_book_pressure_l0,-0.0012425020041045946,-0.00037601458947792186
feature_hft_order_count_imbalance_l0,-0.000868996647582941,-0.0005704735980536001
feature_hft_signed_trade_flow_50,0.0005845969722790362,0.00031688775326123937
feature_hft_bid_slope,-0.0004556742717495692,-0.0007430357714954979
feature_hft_order_book_imbalance_3l,-0.0004530319253641846,-3.727426538589769e-05
feature_hft_ofi,9.214933631107669e-05,6.278843004857344e-05
