feature,pearson,spearman
feature_hft_order_count_imbalance_l0,0.1607696827822126,0.25969634000203673
feature_hft_book_pressure_l0,0.10899019846736373,0.1828120392165905
feature_hft_microprice_divergence,0.08796506181514863,0.17154481596224377
feature_hft_bid_queue_depletion,-0.07884138503946593,-0.09330783879762927
feature_hft_ask_queue_depletion,0.07637259911867886,0.09295026397521589
feature_hft_ask_convexity,-0.07278795163794073,-0.014732504563801615
feature_hft_bid_convexity,-0.06802065006832192,-0.012415669179023195
feature_hft_order_book_imbalance_3l,0.0576014250782646,0.10035033896708104
feature_hft_mid_price_acceleration,-0.04482446621372685,0.009049126272359253
feature_hft_ofi,0.039297826040704045,0.16812451226305758
feature_hft_ask_slope,0.038872832513476334,0.04428738700896505
feature_hft_bid_slope,-0.03546506677143847,-0.039172831307342025
feature_hft_ofi_rolling_50,0.03518325219033796,0.08427186587526338
feature_hft_signed_trade_flow_50,0.030853152142395535,0.08658897562980691
feature_hft_odd_lot_imbalance_200,0.026765088518204475,0.04221191860667828
feature_hft_ofi_multilevel_3l,0.02401613468708863,0.14589586134639657
feature_hft_book_pressure_l1,0.01868441046313905,0.03334014052185581
feature_hft_vwmp_skew,0.015247696014523698,-0.04881583448908211
feature_hft_spread_ratio_50,-0.006999806336843647,-0.0036930317510254266
feature_hft_inter_event_time,0.006105258499049606,0.0068637090558439215
feature_hft_book_pressure_l2,0.005669817333177932,0.012115733368180334
feature_hft_spread_bps,-0.004014917514478451,-0.0011329556742389558
feature_hft_vpin_100,-0.002497188049796211,-0.0031017814412686376
feature_hft_trade_arrival_rate_100,-0.0023262178845063516,-0.005301609762046352
feature_hft_ofi_autocorrelation_50,-0.0014572371510035637,-0.0022547717937722454
feature_hft_microprice,0.0014327581698254553,0.004240411867719832
feature_hft_cancel_to_trade_ratio_200,0.0013011224208598865,0.0022933148560849237
feature_hft_depth_ratio,0.0007612688723117599,0.0020048351668469416
feature_hft_odd_lot_trade_ratio_200,-0.0006746384560236327,0.0001137290353004388
feature_hft_hour_cos,0.00043122326324138984,0.0009316485644942907
feature_hft_price_vamp,0.0004114114031679072,0.0028690356977337417
feature_hft_hour_sin,9.128169273528394e-05,-0.00036595332004082666
feature_hft_large_trade_ratio_100,3.2324847984987056e-05,0.0011976657537091351
