feature,selected,mean,std,skew,kurt,q1,q2,q3,min,max,nulls
feature_hft_book_pressure_l0,True,-0.05592348799109459,1.0040048360824585,-0.08832873404026031,-1.2090896368026733,-0.9319072663784027,-0.06686132773756981,0.8652246296405792,-2.124875068664551,1.6668245792388916,0
feature_hft_book_pressure_l1,False,-0.02639760822057724,0.9992827773094177,-0.12620902061462402,-0.9945316314697266,-0.795125350356102,-0.012282246258109808,0.7959612309932709,-2.3311567306518555,1.8653875589370728,0
feature_hft_book_pressure_l2,False,-0.0027651814743876457,1.0048961639404297,-0.1336982697248459,-0.8368855118751526,-0.7498569786548615,0.004590610740706325,0.793937548995018,-2.3794801235198975,2.1047794818878174,0
feature_hft_order_book_imbalance_3l,True,-0.0010896519524976611,0.9742701649665833,-0.10854347050189972,-0.5796128511428833,-0.704060897231102,0.006567722884938121,0.7339445352554321,-2.7661986351013184,2.4844930171966553,0
feature_hft_order_count_imbalance_l0,True,-0.008211901411414146,0.9622819423675537,-0.020523376762866974,-0.6536422967910767,-0.7034329921007156,-0.08225253596901894,0.8862755447626114,-2.5992913246154785,2.492898464202881,0
feature_hft_microprice,True,-0.49644723534584045,1.238905668258667,-0.30572453141212463,-0.6040372848510742,-1.2749120593070984,-0.4122689366340637,0.46622926741838455,-3.7873408794403076,2.18391752243042,0
feature_hft_microprice_divergence,True,-0.05800827220082283,0.7350127100944519,-0.018183564767241478,0.5317884683609009,-0.5411186814308167,-0.08644028753042221,0.41216229647397995,-4.7804059982299805,3.4761712551116943,0
feature_hft_vwmp_skew,False,0.005665387958288193,0.9138906598091125,-0.3518977761268616,11.077402114868164,-0.4933558627963066,-0.0056165780406445265,0.5038673579692841,-11.693092346191406,11.469477653503418,0
feature_hft_price_vamp,False,-0.49368637800216675,1.2459806203842163,-0.2994254529476166,-0.6068254709243774,-1.29029780626297,-0.4341212511062622,0.4655378758907318,-3.741997480392456,2.185331344604492,0
feature_hft_spread_bps,False,-0.4088429808616638,0.7350965738296509,1.095234990119934,3.211153030395508,-0.9402871578931808,-0.5085861086845398,0.016364142764359713,-1.776593804359436,5.562750339508057,0
feature_hft_spread_ratio_50,False,-0.001941346563398838,0.9193727970123291,0.947634220123291,3.124075174331665,-0.5903144925832748,-0.08450233191251755,0.49444756656885147,-2.227553367614746,8.644262313842773,0
feature_hft_bid_convexity,False,0.002645047614350915,0.5498492121696472,0.38883525133132935,22.060245513916016,-0.054714678786695004,-0.045518580824136734,0.1824699193239212,-6.308330059051514,6.1121649742126465,0
feature_hft_ask_convexity,False,0.015880949795246124,0.5845489501953125,-0.16419948637485504,7.577272415161133,-0.20858817175030708,0.09094992280006409,0.09614396095275879,-3.8631479740142822,4.088778495788574,0
feature_hft_bid_slope,True,-0.0033069532364606857,0.010228227823972702,3.2349462509155273,19.791831970214844,-0.008860426023602486,-0.0060953544452786446,-0.000664568244246766,-0.02015545591711998,0.20530706644058228,0
feature_hft_ask_slope,True,-0.002462028292939067,0.011401902884244919,5.004979133605957,62.509986877441406,-0.009152282262220979,-0.005658149719238281,0.0007586018618894741,-0.017168650403618813,0.24905861914157867,0
feature_hft_depth_ratio,False,-0.16965393722057343,0.7501599192619324,4.154038906097412,32.6535758972168,-0.5849279314279556,-0.36237142980098724,-0.017840036656707525,-0.9259223937988281,11.17241096496582,0
feature_hft_ofi,True,-0.02074284665286541,0.6708005666732788,-6.566460132598877,459.6910705566406,-0.03551708906888962,-0.006381615065038204,0.0030927915940992534,-44.28771209716797,17.70704460144043,0
feature_hft_ofi_rolling_50,True,-0.09535429626703262,0.6800544261932373,-0.3784085512161255,8.6175537109375,-0.4582252502441406,-0.07076703757047653,0.2880043014883995,-6.144750595092773,6.220276832580566,0
feature_hft_ofi_multilevel_3l,False,-0.01873522438108921,0.6260343194007874,-1.5821657180786133,53.67390060424805,-0.16155019402503967,-0.007160843815654516,0.11772836931049824,-18.228174209594727,8.973483085632324,0
feature_hft_ofi_autocorrelation_50,False,-0.053226083517074585,0.9754230976104736,0.05767210200428963,0.6165677309036255,-0.6562516838312149,-0.10704910010099411,0.5660609155893326,-4.455610752105713,4.46793794631958,0
